Name,Tag,Area,Address,Category,Price,Timings
Say Cheese,QUICK BITES,Fort Langley,"9199 Glover Road, Langley V1M",Fast Food,1010,YES
India Abroad,FOOD COURT,"International Food Fair, Downtown","International Food Fair, Food Court, 530 Hornby Street, Vancouver V6C3B6","Fast Food, Indian",101010,YES
Iron Chef Sushi Ichi,CASUAL DINING,Fort Langley,"9145 Glover Road, Langley V1M2S3","Sushi, Japanese, Asian, Bubble Tea",10,NO
McDonald's,QUICK BITES,"University Village, UBC","University Village, 101-5728 University Boulevard, Vancouver V6T",Fast Food,101010,NO
Spice 72,CASUAL DINING,Newton,"12025 72nd Avenue, Surrey V3W 2M1",Indian,10,YES
Chef Tony Dim Sum,QUICK BITES,Central Burnaby,"4700 Kingsway,Burnaby, Burnaby V5H 4M5",Dim Sum,10101010,YES
Najia Restaurant,CASUAL DINING,Downtown,"1018 Beach Avenue, Metro Vancouver, Vancouver V6E 1T7","Chinese, Asian Fusion",10,YES
Captain's Galley Fish & Chips,CASUAL DINING,City of Langley,"20173 56 Avenue, Langley V3A",Fish and Chips,101010,NO
Seatown East Asia Cuisine,CASUAL DINING,Maple Ridge,"22242 Dewdney Trunk Road, Metro Vancouver V2X 3H9","Chinese, Asian",10,NO
European Breads Bakery,BAKERY,Kensington,"4320 Fraser Street, Vancouver V5V4G3",Bakery,1010,NO
Trump Champagne Lounge,LOUNGE,Coal Harbour,"1161 W Georgia Street Vancouver, BC V7Y 1K8, Vancouver, British Columbia, Metro Vancouver, Vancouver","Asian Fusion, Canadian",10,NO
Sushi Maki,CASUAL DINING,Downtown,"989 Hornby Street, Vancouver V6Z2E1","Sushi, Japanese, Asian",10,YES
Mei Shan Dong Po Restaurant,CASUAL DINING,South Cambie Street,"3420 Cambie Street, Vancouver","Chinese, Dim Sum, Sichuan",1010,NO
Dentry's Irish Grill,BAR,Point Grey,"4450 West 10th Avenue, Vancouver V6R2H8",Bar Food,10,YES
Golden Lion,CASUAL DINING,South Surrey,"2377 King George Boulevard, Surrey V4A5A4","Chinese, Asian",10101010,NO
Richport Chinese,CASUAL DINING,East Richmond,"2-11600 Bridgeport Road, Richmond V6V1J3","Chinese, Asian",1010,NO
Rama Sweets & Restaurant,CASUAL DINING,Newton,"107-7028 120 Street, Surrey V3W3M8",Indian,1010,YES
Pho Express,FOOD COURT,"International Food Fair, Downtown","International Food Fair, Food Court, 530 Hornby Street, Vancouver V6C3B6","Fast Food, Vietnamese, Asian",10,YES
Kwantlen Pizza Sweets & Snacks,QUICK BITES,"Chimney Hill Plaza, Fleetwood","Chimney Hill Plaza, 108-15122 72 Avenue, Surrey V3S2G3","Indian, Pizza",10101010,YES
Red Rose,CASUAL DINING,Newton,"6914 King George Boulevard, Surrey V3W4Z1","Greek, Canadian, Italian",10101010,YES
Tomato Shack Pizza,CASUAL DINING,Whalley,"10322 Whalley Boulevard, Surrey",Pizza,10101010,NO
Petra's,CAF�,"Tsawwassen Shopping Centre, Tsawwassen","Tsawwassen Shopping Centre, 1200 56 Street, Metro Vancouver V4L2A4",Cafe,1010,NO
Little Bean Tea Station,BEVERAGE SHOP,"Yaohan Centre, Central Richmond","Yaohan Centre, 3700 Number 3 Road, Richmond V6X","Bubble Tea, Beverages",101010,NO
Sakura Cafe,CAF�,Kitsilano,"2389 Burrard Street, Vancouver",Cafe,101010,YES
Oak & Thorne,BAR,Township of Langley,"20330 88th Avenue, Langley",Bar Food,10101010,NO
Pizza 123,QUICK BITES,Port Coquitlam,"3377 Coast Meridian Road, Metro Vancouver V3B6X3","Pizza, Fast Food",101010,YES
Amici Miei,CASUAL DINING,West End,"1114 Denman Street, Vancouver V6G 1T2","Italian, Pizza",10101010,YES
Sergio's Pizza & Pasta,QUICK BITES,Port Moody,"2929 St. Johns Street, Metro Vancouver V3H4T4","Pizza, Fast Food",10,YES
Shen Yang Kabob,CASUAL DINING,Central Richmond,"8328 Capstan Way, Richmond","Chinese, Asian",1010,NO
Number E Food,QUICK BITES,Downtown,"1308 Burrard Street, Vancouver","Sandwich, Beverages",10101010,NO
The Great Mongolian BBQ,QUICK BITES,"Valley Fair Mall, Maple Ridge","Valley Fair Mall, 22709 Lougheed Highway, Metro Vancouver V2X2V6","Mongolian, BBQ, Asian",101010,NO
Fisherman's Boot Cafe,CASUAL DINING,Steveston,"19-12740 Trites Road, Richmond V7E3R8","Canadian, Diner",10101010,YES
720 Sweets,DESSERT PARLOR,Central Burnaby,"4800 Kingsway, Unit 147, Burnaby, Burnaby V5H 4J5",Desserts,10101010,NO
Bomber Brewing,MICROBREWERY,Grandview,"1488 Adanac Street, Vancouver V5L2C3",Finger Food,1010,YES
Dim Sum Express,FOOD TRUCK,Downtown,"200 Howe Street, Vancouver V6C3L5",Dim Sum,10,NO
Falafel Town,QUICK BITES,Downtown,"1009 Granville Street, Vancouver V6Z","Middle Eastern, Fast Food",10,YES
Butter Tea Room,BAKERY,Dunbar,"4907 Mackenzie Street, Vancouver V6S2G2","Tea, Bakery, Desserts",1010,NO
777 Bubble Tea,BEVERAGE SHOP,Guildford,"103-10422 168 Street, Surrey V4N1R9","Bubble Tea, Beverages, Asian",10,YES
Jamjar,CASUAL DINING,Fairview,"1488 West 11th Avenue, Vancouver, Vancouver V6H 3H8",Lebanese,101010,NO
Paulo's Pizza,QUICK BITES,East Richmond,"140-23200 Gilley Road, Richmond, Richmond V6V 1B8","Pizza, Fast Food",1010,YES
Koffie,CAF�,"Bentall Towers, Coal Harbour","Bentall 1, 1050 West Pender Street, Vancouver V6E4T3",Cafe,1010,YES
Storm Brewing,BAR,Grandview,"310 Commercial Drive, Vancouver V5L 3V6",Drinks Only,1010,YES
Mr Pickwick's Fish & Chips,QUICK BITES,"Cedar Hills Plaza, Whalley","Cedar Hills Plaza, 12884 96 Avenue, Surrey V3V6A8",Fish and Chips,10,YES
Mona Pizza,QUICK BITES,Maple Ridge,"22292 Dewdney Trunk Road, Metro Vancouver V2X","Fast Food, Pizza",1010,YES
COBS Bread,BAKERY,Kerrisdale,"2174 West 41st Avenue, Vancouver V6M2A3",Bakery,101010,NO
Dragon's Chop Suey House,CASUAL DINING,Fleetwood,"16055 Fraser Highway, Surrey V4N0G3","Chinese, Asian",10,NO
The Rolling Dough,QUICK BITES,North Burnaby,"2900 Bainbridge Avenue, Burnaby V5A 2S9",Pizza,10,YES
Johnny's Pizza Factory,QUICK BITES,Marpole,"7970 Granville Stree, Vancouver V6P","Pizza, Fast Food",101010,YES
Corner Cup Coffee House,CAF�,Kitsilano,"3301 West 4th Avenue, Vancouver V6K1R8",Cafe,10101010,NO
C Prime,CASUAL DINING,"Century Plaza Hotel & Spa, West End","Century Plaza Hotel & Spa, 1015 Burrard Street, Vancouver","Steak, Italian",1010,NO
Broadmoor Bakery,BAKERY,"Broadmoor Village, Richmond","Broadmoor Village, 130-10111 Number 3 Road, Richmond V7C",Bakery,10,YES
PappaRoti,CAF�,Coquitlam,"Unit 100 � 1196 Pinetree Way, Coquitlam V3B 2P7","Cafe, Coffee and Tea",101010,YES
Four Winds Brewing Co.,MICROBREWERY,North Delta,"7355 72 Street, Metro Vancouver",Drinks Only,101010,YES
Indian Bay Leaf,CASUAL DINING,Kensington,"4890 Victoria Drive, Metro Vancouver, Vancouver V5N 4P5",Indian,10101010,NO
Dairy Queen,FAST FOOD,Kitsilano,"2601 Broadway West, Vancouver V6K2G3","Fast Food, Desserts",101010,YES
Pemberton Station Pub,BAR,Lower Capilano,"135 Pemberton Avenue, North Vancouver V7P1A9",Bar Food,101010,NO
Oui Coffee House,CAF�,North Burnaby,"4092 Hasting Street, Burnaby, Burnaby V5E 2H9","Cafe, Coffee and Tea, Sandwich, Desserts",101010,NO
Nizzy's Caf�,QUICK BITES,South Burnaby,"101-5489 Byrne Road, Burnaby V5J3J1",Diner,10,NO
Musette Caffe,CAF�,Downtown,"1325 Burrard Street, Vancouver, Vancouver V6Z 2B7","Cafe, Sandwich",101010,YES
J's Wok,CASUAL DINING,Coquitlam,"1052 Austin Avenue, Coquitlam V3K","Chinese, Asian",10101010,YES
Subway,QUICK BITES,Grandview,"2079 Dundas Street, Vancouver V5L1J4",Fast Food,10101010,YES
Donair Licious,QUICK BITES,Port Coquitlam,"2652 Shaughnessy Street, Metro Vancouver V3C",Middle Eastern,10101010,YES
Stomping Grounds Cafe & Bistro,CAF�,Pitt Meadows,"101-10931 Barnston View Road, Metro Vancouver V3Y0A9",Cafe,101010,NO
Coral Court Szechuan Cuisine,CASUAL DINING,Lower Lonsdale,"137 East 2nd Street, North Vancouver V7M2G1","Chinese, Asian",1010,YES
Pyrgos Taverna,CASUAL DINING,Maple Ridge,"22570 Lougheed Highway, Metro Vancouver V2X","Greek, Mediterranean",101010,NO
Andiamo's Pizza & Pasta House,CASUAL DINING,Maple Ridge,"1-20726 Lougheed Highway, Metro Vancouver V2X2R1","Pizza, Italian",101010,YES
Meadow Sushi,CASUAL DINING,"The Pitt Meadows Centre, Pitt Meadows","The Pitt Meadows Centre, 12141 Harris Road, Metro Vancouver V3Y2E9","Sushi, Japanese, Asian",1010,YES
Elisa Steakhouse,STEAKHOUSE,Yaletown,"1109 Hamilton Street, Vancouver, BC V6B 5P6, Vancouver",Steak,10,NO
Chongqing,CASUAL DINING,Newton,"8220 120th Street, Surrey V3W 3N4",Asian,10,NO
Grand Crystal Restaurant,CASUAL DINING,Central Burnaby,"#2166 Crystal Mall, 4500 Kingsway, Burnaby V5H 2B1","Chinese, Dim Sum",10101010,YES
West Village Cafe,CAF�,Newton,"160 - 5620 152nd Street, Surrey, Surrey V3S 3K2","Cafe, Bakery, Coffee and Tea",101010,YES
Perverted Ice Cream,DESSERT PARLOR,West End,"797 Thurlow St, Vancouver, BC V6E 3V5, Vancouver",Ice Cream,1010,NO
The Heatley,CASUAL DINING,Strathcona,"696 East Hastings Street, Vancouver V6A 1R1","Pacific Northwest, Canadian",1010,YES
Green & Oak Malaysian Restaurant,CASUAL DINING,North Burnaby,"3760 Hastings St, Burnaby, Burnaby",Malaysian,10101010,NO
Shake Shake Tea,CAF�,Central Richmond,"4600-3 Road, Suite 131, Richmond V6X",Asian,10,NO
Cosy Inn Cafe,CASUAL DINING,Dunbar,"4455 Dunbar Street, Vancouver V6S1S4","Chinese, Asian",101010,NO
Como Taperia,FAST CASUAL,Mount Pleasant,"201 E 7th Ave, Mount Pleasant, Vancouver, Vancouver","Spanish, Tapas",10,NO
Broadway Chinese Restaurant,CASUAL DINING,Fairview,"1410 West Broadway, Vancouver V6H1H4","Chinese, Asian",1010,NO
Tofu Hotpot,FOOD COURT,"Aberdeen Centre, Richmond","Aberdeen Centre, Food Court, 3090-4151 Hazelbridge Way, Richmond","Fast Food, Taiwanese, Chinese, Asian",10,YES
Korean Mama Express,FOOD TRUCK,Downtown,"700 West Georgia Street, Vancouver V7Y1K8","Korean, Asian",10101010,NO
Shu Tao Hot Pot,CASUAL DINING,Central Richmond,"5960 Minoru Boulevard, Unit 140, Richmond, Richmond V6X 3J3",Chinese,101010,YES
Doux Crepes,CASUAL DINING,Downtown,"1371 Richards Street, Vancouver V6B6M6","French, European",101010,YES
Muffin Granny,QUICK BITES,"The Public Market, Granville Island","The Public Market, 115-1689 Johnston Street, Vancouver V6H3R9","Desserts, Bakery",1010,YES
H Tasting Lounge,CASUAL DINING,West End,"1601, Bayshore Dr, West End, Vancouver, Vancouver V6G 2V4","Pacific Northwest, Seafood, Steak",10101010,NO
La Taqueria,CASUAL DINING,Downtown,"586 Hornby Street, Vancouver, Vancouver V6C 3B6",Mexican,10101010,YES
Dae-ji,CASUAL DINING,"Fleetwood Park Village, Fleetwood","Fleetwood Park Village, 15949 Fraser Highway, Surrey V4N 0Y3","Korean, Asian Fusion",10,NO
WOW THAI FOOD,FOOD COURT,"International Village Mall, Chinatown","International Village Mall, 2007-88 West Pender Street, Vancouver V6B 6N9","Thai, Asian",10101010,NO
Pho Ngan,QUICK BITES,Punjabi Market,"5744 Fraser Street, Vancouver V5W",Vietnamese,10101010,NO
Taiwan Taipei Original Pot,CASUAL DINING,Riley Park & Little Mountain,"4063 Main St,Vancouver, Vancouver V5V 3P5",Taiwanese,10101010,YES
Art of Spice,CASUAL DINING,Downtown,"1355 Hornby Street, Vancouver V6Z 1W7 1W7",Indian,10,YES
Pho Hoa Hong,CASUAL DINING,"Andes Plaza, Whalley","Andes Plaza, 4-10302 City Parkway, Surrey V3T 4Y8","Vietnamese, Asian",10101010,YES
Aji Hana Japanese Eatery & Udon,FOOD COURT,"Aberdeen Centre, Richmond","Aberdeen Centre, Food Court, 3050-4151 Hazelbridge Way, Richmond V6X","Fast Food, Sushi, Japanese, Asian",1010,NO
Golden Samosa Bakery,QUICK BITES,Newton,"12025 Nordel Way, Surrey V3W 1W1",Indian,1010,YES
Centennial Beach Cafe,QUICK BITES,Tsawwassen,"570 Boundary Bay Road, Metro Vancouver V4L",Fast Food,101010,YES
41 Noodle & Rice Pot House,CASUAL DINING,Kerrisdale,"2279 W 41st Ave, Vancouver, Vancouver V6M 2A3",Chinese,10101010,YES
Lian Hong Chinese Food & Bakery,QUICK BITES,Punjabi Market,"6400 Fraser Street, Vancouver V5W3A3","Chinese, Asian, Fast Food",10,YES
Wang Shun Ge,CASUAL DINING,"Olympia Centre, Richmond","Olympia Centre, 165-8400 Alexandra Road, Richmond, Richmond V6X 1C3","Chinese, Asian",10101010,YES
Eggspectation,CASUAL DINING,East Richmond,"10551 St Edwards Dr, Richmond, BC, Richmond",American,1010,YES
Ocean Park Pizza & Steak House Restaurant,CASUAL DINING,Township of Langley,"20097 40 Avenue, Langley V3A","Pizza, Italian, Steak, Greek",1010,YES
Do Chay,QUICK BITES,Kensington,"1392 Kingsway, Kensington, Vancouver, Vancouver",Vegetarian,1010,YES
KFC,QUICK BITES,West End,"1147 Davie Street, Vancouver V6E1N2",Fast Food,101010,NO
Ba Le Deli & Sandwiches,FOOD COURT,"Impact Plaza, Guildford","Impact Plaza, T&T Supermarket Food Court, 15277 100 Avenue, Surrey","Fast Food, Vietnamese, Deli, Asian",101010,NO
Pepinos Spaghetti House,CASUAL DINING,Grandview,"631 Commercial Dr, Grandview, Vancouver, Vancouver",Italian,1010,NO
Papa Dave's Pizza,QUICK BITES,New Westminster,"820 20th Street, Metro Vancouver V3M2X4",Pizza,1010,NO
Twin Sails Brewing,MICROBREWERY,Port Moody,"2821 Murray Street, Metro Vancouver",Drinks Only,1010,NO
Numero Uno Pizza,QUICK BITES,Downtown,"708 Davie Street, Vancouver V6Z","Pizza, Fast Food",10101010,YES
Dosa Hut,CASUAL DINING,Punjabi Market,"7233 Fraser Street, Vancouver V5X 1R7",South Indian,10,NO
Xin Jiang Delicious Food,FOOD COURT,"Richmond Public Market, Richmond","Richmond Public Market, Level 2, Food Court, 2390-8260 Westminster Highway, Richmond V6X","Fast Food, Chinese, Asian",101010,NO
Altmaerker German Sausage House and Deli,QUICK BITES,North Delta,"11150 84 Avenue, Metro Vancouver V4C2L7","Deli, German",10101010,NO
Lynn Canyon Cafe,CAF�,Lynn Valley,"3663 Park Road, North Vancouver, North Vancouver V7J 1Z1","Cafe, Sandwich",10101010,NO
Tak Fook Noodle and Congee Shop,FOOD COURT,"Parker Place, Richmond","Parker Place, Food Court, 1232-4380 Number 3 Road, Richmond V6X 4E8","Fast Food, Cantonese, Chinese, Asian",101010,NO
Fresh Elements,FOOD COURT,"Yaohan Centre, Central Richmond","Yaohan Centre, Food Court, 1105-3700 Number 3 Road, Richmond V6X 2C1","Bubble Tea, Beverages",1010,NO
Rainbow Cafe,QUICK BITES,"Parker Place, Richmond","Parker Place, 1505-4380 Number 3 Road, Richmond V6X4E8","Chinese, Hong Kong Style",101010,YES
ZenQ,DESSERT PARLOR,Marpole,"495 SW Marine Drive, Vancouver, Metro Vancouver, Vancouver",Desserts,10,NO
Chau Veggie Express,CASUAL DINING,Granville Island,"1689 Johnston Street, Vancouver V6H 3P9",Vietnamese,10,YES
The Smallflower,QUICK BITES,Gastown,"47 West Hastings Street, Vancouver V6B 1G4","Sandwich, Bakery",101010,NO
Coffee Versante,BEVERAGE SHOP,Central Richmond,"8280 Lansdowne Road, Suite 110, Richmond, Richmond V6X",Coffee and Tea,10101010,NO
The Well,CASUAL DINING,Maple Ridge,"Chances, 22710 Lougheed Highway, Metro Vancouver V2X2V5",Bar Food,1010,NO
Mario's Coffee Express,CAF�,Downtown,"595 Howe Street, Vancouver V6C1N5",Cafe,101010,YES
Prontino,CASUAL DINING,South Cambie Street,"3475 Cambie Street, Vancouver V5Z",Italian,1010,YES
The Capilano Teahouse & Botanical Soda Co.,BEVERAGE SHOP,Vancouver Airport,"33-7899 Templeton Station Road, Richmond","Tea, Beverages",10,YES
Rosie's Country Cafe,CASUAL DINING,South Surrey,"8-3033 King George Boulevard, Surrey V4P1B8",Diner,10101010,YES
BBQ King Delight,CASUAL DINING,Fleetwood,"8973 152 Street, Surrey V3R4E5","BBQ, Chinese, Asian",10,NO
Jim's Cafe,CAF�,New Westminster,"518 6th Street, Metro Vancouver V3L5H1",Cafe,101010,NO
Chancho Tortilleria,CASUAL DINING,Downtown,"1206 Seymour Street, Vancouver V6B",Mexican,1010,YES
Kits Sushi,QUICK BITES,Kitsilano,"1518 Yew Street, Vancouver V6K1B5","Sushi, Japanese, Asian",101010,NO
Deep Cove Pizza,QUICK BITES,Deep Cove,"4385 Gallant Avenue, North Vancouver V7G1L2",Pizza,10,NO
O-Cha Tea Bar,CAF�,"Empress Galleria, Yaletown","Empress Galleria, 1116 Homer Street, Vancouver V6B 2G2","Tea, Cafe",10,NO
Ashiana Tandoori,CASUAL DINING,Kensington,"1440 Kingsway, Vancouver V5N 2R5",Indian,1010,NO
Dijo's Pizza Panzerotto,QUICK BITES,Hastings-Sunrise,"116-2838 East Hastings Street, Vancouver V6A4J1",Pizza,1010,NO
Chongqing Noodle House,NOODLE SHOP,Central Richmond,"3779 Sexsmith Road, Richmond V6X 1J8",Chinese,10,YES
Paradiso Gelato Bistro,DESSERT PARLOR,Kitsilano,"1520 Yew Street, Vancouver V6K3E4","Ice Cream, Desserts",10101010,NO
Sun Garden Chinese,CASUAL DINING,South Cambie Street,"3832 Oak Street, Vancouver V6H2M6","Chinese, Asian",101010,NO
Maple Leaf Bakery,BAKERY,West End,"1216 Davie Street, Vancouver V6E",Bakery,10,YES
Crispy,CASUAL DINING,Lower Capilano,"950 Marine Drive, North Vancouver V7M1H3","Pizza, Iranian",10,NO
Mozart Bakery & Cafe,CAF�,"Westpark Centre, Walnut Grove","Westpark Centre, 20349 88 Avenue, Langley V1M","Cafe, Desserts",10,YES
Neptune Palace Seafood Restaurant,CASUAL DINING,Marpole,"470 SW Marine Dr Unit 308, Marpole, Vancouver, Vancouver","Chinese, Dim Sum, Seafood",101010,YES
Plato Filipino,QUICK BITES,Renfrew-Collingwood,"5175 Joyce Street, Vancouver V5R 4G8",Filipino,10101010,NO
Chickpea,FOOD TRUCK,Downtown,"Location varies, Vancouver",Fast Food,1010,NO
Green House Cafe & Bistro,CASUAL DINING,Maple Ridge,"11997 224 Street, Metro Vancouver V2X3J4",Diner,101010,NO
Caffe Al Mercato,CAF�,Dundarave,"2215 Marine Drive, West Vancouver V7V1K6","Cafe, Deli, Ice Cream, Italian",1010,NO
Jazen Tea,QUICK BITES,Oakridge,"1011 West 49th Avenue, Vancouver V6M2P7",Beverages,10101010,NO
The Yard Cafe,BAR,Marpole,"8482 Granville Street, Vancouver V6P4Z7",Bar Food,10,NO
The Pantry,CASUAL DINING,Lynnmour & Maplewood,"Inside Holiday Inn, 700 Old Lillooet Road, North Vancouver V7J2H5",American,101010,NO
Capilano Sushi,CASUAL DINING,Lower Capilano,"1240 Marine Drive, North Vancouver V7P3E5","Sushi, Japanese, Asian",1010,NO
Montgomery's Cottage Lunch,QUICK BITES,"East Beach, White Rock","East Beach, 15539 Marine Drive, Metro Vancouver V4B","Fish and Chips, Fast Food",101010,YES
Monarch Bakery,BAKERY,Central Lonsdale,"1823 Lonsdale Avenue, North Vancouver V7M",Bakery,101010,YES
Won Jung,CASUAL DINING,West End,"1329 Robson Street, Vancouver V6E 2B1","Korean, Chinese",10101010,NO
Willow Cafe & Bakery,CAF�,Fairview,"797 West 16th Avenue, Vancouver",Cafe,10,NO
Thai Town,CASUAL DINING,Chinatown,"88 W Pender Street, Vancouver, Vancouver V6B 6N8",Thai,10101010,YES
Heart & Vine,CAF�,Kitsilano,"2480 Vine Street, Vancouver V6K3K8",Cafe,101010,NO
Cabizerra Bistro,CASUAL DINING,Guildford,"14775 108 Ave, Guildford, Surrey, Surrey V3R 1V9",Filipino,101010,NO
Mackenzie Cafe,QUICK BITES,"Simon Fraser University, North Burnaby","Simon Fraser University, 8888 University Drive, Burnaby V5A4Y6","Diner, Canadian, Asian",10,NO
Le Pizzo Bella Cafe,QUICK BITES,New Westminster,"465 East Columbia Street, Metro Vancouver V3L","Pizza, Italian",101010,YES
Pho Goodness,CASUAL DINING,Mount Pleasant,"3079 Main Street, Vancouver, Vancouver V5T 3G6",Vietnamese,101010,NO
The Eastwood,QUICK BITES,Riley Park & Little Mountain,"4245 Fraser Street, Vancouver, Vancouver V5V 4G1","Burger, Sandwich",10,YES
Splash Bistro,CASUAL DINING,Downtown,"Edgewater Casino, 750 Pacific Boulevard, Vancouver V6Z2R8","Chinese, Canadian, Asian",1010,YES
77K Freeze,CAF�,Grandview,"2240 Commercial Drive, Vancouver, Vancouver V5N 5P9","Cafe, Desserts",10101010,YES
Mughal Garden Sweets & Restaurant,CASUAL DINING,Newton,"12788 76A Ave Unit #103, Newton, Surrey, Surrey V3W 1L4",Indian,10101010,NO
Golden Spring Restaurant,CASUAL DINING,Grandview,"2461 Nanaimo Street, Vancouver V5N 5E5","Chinese, Seafood",10101010,YES
Pink Lotus Cafe,CASUAL DINING,Fleetwood,"104-16016 Fraser Highway, Surrey V4N 0G3",Vietnamese,1010,NO
B & B Sweet Shop & Restaurant,QUICK BITES,"Brar Plaza, North Delta","8077 King George Blvd , Surrey V3W 5B4",Indian,1010,NO
Fairways Grill and Patio,CASUAL DINING,Coquitlam,"1630 Parkway Boulevard, Coquitlam V3E2Y5",Bar Food,10,NO
The Viet Noodle Guy,QUICK BITES,North Burnaby,"1902, Rosser Ave, Burnaby, BC V5C 3Z2, Burnaby",Vietnamese,10101010,NO
Petra Cafe,FOOD COURT,"University Village, UBC","University Village, Food Court, 5728 University Boulevard, Vancouver V6T1Z4","Fast Food, Mediterranean, Middle Eastern",101010,YES
Polly Pokinos,QUICK BITES,Coquitlam,"1410 Parkway Boulevard, Coquitlam V3E 3E6",Canadian,10,NO
Non Stop Pizza,QUICK BITES,Fleetwood,"15272 Fraser Highway, Surrey V3R4E4","Indian, Pizza, Fast Food",101010,YES
Love for Pho,CASUAL DINING,Victoria-Fraserview & Killarney,"3524 Kingsway Street, Vancouver V5R 5X4",Vietnamese,10101010,YES
Pizza Factory,QUICK BITES,Central Burnaby,"4300 Kingsway, Burnaby V5H1Z5","Pizza, Fast Food",10,NO
Chaba Thai,CASUAL DINING,Cloverdale,"1-5723 176 Street, Surrey V3S 4C9",Thai,10,YES
Shawarma Grill,QUICK BITES,Coquitlam,"104-2970 Glen Drive, Coquitlam",Mediterranean,1010,NO
China Village Wonton House,CASUAL DINING,Whalley,"9644 King George Boulevard, Surrey V3T 2V5","Chinese, Asian",101010,NO
Romer's,BAR,Port Moody,"101 Morrissey Road, Metro Vancouver V3H 5N1","Bar Food, Burger",10101010,YES
L'Atelier Patisserie,DESSERT PARLOR,Downtown,"260 East 5th Ave, Vancouver, British Columbia, Metro Vancouver, Vancouver","Desserts, Cafe",101010,NO
Sakura Sushi,CASUAL DINING,City of Langley,"20493 Fraser Highway, Langley V3A4G3","Sushi, Japanese, Asian",101010,NO
Shawarma Palace,QUICK BITES,East Richmond,"Sands Plaza, 123 - 11020 Number 5 Road, Richmond",Middle Eastern,1010,YES
Chez Michel,CASUAL DINING,Ambleside,"1373 Marine Drive, West Vancouver V7T1B5",French,10,NO
Red Rose Restaurant,CASUAL DINING,"Sunnyside Village, South Surrey","Sunnyside Village, 102-2381 King George Boulevard, Surrey V4A5A4","Greek, Canadian, Italian",101010,NO
Rendezvous Pub,BAR,City of Langley,"20620 56 Avenue, Langley V3A3Z1",Bar Food,10101010,YES
Dageraad Brewing,MICROBREWERY,Cariboo & Lougheed,"114-3191 Thunderbird Crescent, Burnaby",Finger Food,10,NO
Dhoom Restaurant & Bar,CASUAL DINING,Newton,"York Centre, 112-7938 128 Street, Surrey V3W4E9",Indian,10,NO
Tokyo Joe's,CASUAL DINING,Downtown,"955 Helmcken Street, Vancouver V6Z 2S5","Sushi, Japanese, Asian",10101010,YES
Szechuan House,FOOD COURT,"Aberdeen Centre, Richmond","Aberdeen Centre, Food Court, 3080-4151 Hazelbridge Way, Richmond","Fast Food, Sichuan, Chinese, Asian",101010,YES
Perfect Taste Restaurant,CASUAL DINING,Central Burnaby,"1011-4500 Kingsway, Burnaby V5H 2B1","Chinese, Asian",10101010,YES
Bonnie's Bread,BAKERY,"Champlain Square, Marpole","Champlain Square, 7010 Kerr Street, Vancouver V5S 3E3",Bakery,1010,NO
New West Wonton House,CASUAL DINING,New Westminster,"441-12th Street, Metro Vancouver V3M4H9","Diner, Chinese, Asian",10,NO
Kyle's Cafe,CASUAL DINING,Kensington,"2627 Commercial Drive, Vancouver V5N","Canadian, Chinese, Asian",1010,YES
Pat's Pub & Brewhouse,BAR,Downtown Eastside,"Patricia Hotel, 403 East Hastings Street, Vancouver V6A1P6",Bar Food,10101010,NO
AA Plus Restaurant,QUICK BITES,Kensington,"5207 Victoria Drive, Vancouver V5P 3V4",Chinese,10,YES
Lonsdale Kabob,CASUAL DINING,Central Lonsdale,"106 West 13th Street, North Vancouver V7M2H7",Iranian,10,NO
Cedar Cottage Coffee House,CAF�,Kensington,"1303 Kingsway, Vancouver V5V3E2",Cafe,101010,YES
Kobe Izakaya Lounge,CASUAL DINING,West End,"1042 Alberni Street, Vancouver V6Z2V6","Japanese, Sushi, Asian",1010,NO
Leieve Tea,BEVERAGE SHOP,White Rock,"15577 Marine Drive, White Rock, BC V4B 1C9, Metro Vancouver","Bubble Tea, Cafe, Coffee and Tea, Tea",10101010,YES
Haidilao Hotpot,QUICK BITES,Central Richmond,"5890 No 3 Rd #200, Richmond, Richmond",Continental,101010,YES
Rustique Bistro,CASUAL DINING,Bowen Island,"433 Bowen Island Trunk Road, West Vancouver V0N1G1","French, Desserts",10101010,YES
Captain Wa,FOOD COURT,"Richmond Public Market, Richmond","Richmond Public Market, Level 2, 2460-8260 Westminster Highway, Richmond V6X1A7","Fast Food, Chinese, Asian",101010,NO
Samba Sushi,CASUAL DINING,City of Langley,"20437 Fraser Highway, Langley V3A 2J9","Sushi, Japanese",10,YES
Papa Greek,QUICK BITES,"Valley Fair Mall, Maple Ridge","Valley Fair Mall, 607-22709 Lougheed Highway, Metro Vancouver V2X0T5",Greek,101010,NO
Prime Time Chicken,QUICK BITES,Chinatown,"416 Main Street, Vancouver V6A1T5","Chinese, Canadian, Asian, Fast Food",1010,YES
Newton Pizza,CASUAL DINING,Cloverdale,"#101, 18408, 64 Avenue,Surrey, Surrey V3S 1E9","Pizza, Indian",1010,NO
The Landing Pub,CASUAL DINING,Ladner,"5449 Ladner Trunk Road, Metro Vancouver V4K1W6",Bar Food,1010,NO
Mr. Lunch,CAF�,Maple Ridge,"20295 113B Avenue #5, Maple Ridge, Metro Vancouver",Cafe,101010,YES
Edo Japan,FOOD COURT,"Brentwood Town Centre, North Burnaby","Brentwood Town Centre, Food Court, 746-4567 Lougheed Highway, Burnaby V5C5X3","Fast Food, Sushi, Japanese, Asian",101010,NO
